Software Number,SW Description,Format
X09-69134,SW CD Visio Std 2003 W32 Brazilian MLF,EXE
X09-69137,SW CD Visio Std 2003 W32 ChnSimp MLF,EXE
X09-69141,SW CD Visio Std 2003 W32 ChnTrad MLF,EXE
X09-69144,SW CD Visio Std 2003 W32 Danish MLF,EXE
X09-69151,SW CD Visio Std 2003 W32 Finnish MLF,EXE
X09-69153,SW CD Visio Std 2003 W32 French MLF,EXE
X09-69155,SW CD Visio Std 2003 W32 German MLF,EXE
X09-69158,SW CD Visio Std 2003 W32 Japanese MLF,EXE
X09-69159,SW CD Visio Std 2003 W32 Korean MLF,EXE
X09-69160,SW CD Visio Std 2003 W32 Norwegian MLF,EXE
X09-69162,SW CD Visio Std 2003 W32 Spanish MLF,EXE
X09-69164,SW CD Visio Std 2003 W32 Swedish MLF,EXE
X09-69167,SW CD Visio Pro 2003 W32 Brazilian MLF,EXE
X09-69169,SW CD Visio Pro 2003 W32 ChnSimp MLF,EXE
X09-69174,SW CD Visio Pro 2003 W32 ChnTrad MLF,EXE
X09-69179,SW CD Visio Pro 2003 W32 Danish MLF,EXE
X09-69185,SW CD Visio Pro 2003 W32 Finnish MLF,EXE
X09-69187,SW CD Visio Pro 2003 W32 French MLF,EXE
X09-69189,SW CD Visio Pro 2003 W32 German MLF,EXE
X09-69195,SW CD Visio Pro 2003 W32 Japanese MLF,EXE
X09-69199,SW CD Visio Pro 2003 W32 Korean MLF,EXE
X09-69202,SW CD Visio Pro 2003 W32 Norwegian MLF,EXE
X09-69205,SW CD Visio Pro 2003 W32 Spanish MLF,EXE
X09-69208,SW CD Visio Pro 2003 W32 Swedish MLF,EXE
X09-69214,SW CD SharePoint Portal Svr 2003 ChnSimp MLF,EXE
X09-69218,SW CD SharePoint Portal Svr 2003 ChnTrad MLF,EXE
X09-69422,SW CD SharePoint Portal Svr 2003 Dutch MLF,EXE
X09-69425,SW CD SharePoint Portal Svr 2003 Finnish MLF,EXE
X09-69431,SW CD SharePoint Portal Svr 2003 German MLF,EXE
X09-69435,SW CD SharePoint Portal Svr 2003 Japanese MLF,EXE
X09-69437,SW CD SharePoint Portal Svr 2003 Korean MLF,EXE
X09-69440,SW CD SharePoint Portal Svr 2003 Norwegian MLF,EXE
X09-69442,SW CD SharePoint Portal Svr 2003 Swedish MLF,EXE
X09-69446,SW CD NTRL Proofing Tools 2003 W32 English ProdAct Bypass,EXE
X09-69542,SW CD InfoPath 2003 W32 Danish MLF,EXE
X09-69546,SW CD InfoPath 2003 W32 Norwegian MLF,EXE
X09-69549,SW CD InfoPath 2003 W32 Finnish MLF,EXE
X09-69635,SW CD SharePoint Portal Svr 2003 Thai MLF,EXE
X09-70098,SW CD NTRL Outlook 2003 W32 French #1 PA BP for Svr,EXE
X09-70100,SW CD NTRL Outlook 2003 W32 Italian #1 PA BP for Svr,EXE
X09-70101,SW CD NTRL Outlook 2003 W32 German #1 PA BP for Svr,EXE
X09-70382,SW CD Project 2003 W32 Czech MLF,EXE
X09-70383,SW CD Project 2003 W32 Hebrew MLF,EXE
X09-70384,SW CD Project 2003 W32 Hungarian MLF,EXE
X09-70385,SW CD Project 2003 W32 Polish MLF,EXE
X09-70386,SW CD Project 2003 W32 Russian MLF,EXE
X09-70387,SW CD Project Pro 2003 W32 Czech MLF,EXE
X09-70388,SW CD Project Pro 2003 W32 Hebrew MLF,EXE
X09-70389,SW CD Project Pro 2003 W32 Hungarian MLF,EXE
X09-70390,SW CD Project Pro 2003 W32 Polish MLF,EXE
X09-70391,SW CD Project Pro 2003 W32 Russian MLF,EXE
X09-70392,SW CD Project Server 2003 W32 Czech MLF,EXE
X09-70393,SW CD Project Server 2003 W32 Hebrew MLF,EXE
X09-70394,SW CD Project Server 2003 W32 Hungarian MLF,EXE
X09-70396,SW CD Project Server 2003 W32 Polish MLF,EXE
X09-70397,SW CD Project Server 2003 W32 Russian MLF,EXE
X09-70398,SW CD Visio Std 2003 W32 Czech MLF,EXE
X09-70399,SW CD Visio Std 2003 W32 Polish MLF,EXE
X09-70400,SW CD Visio Pro 2003 W32 Czech MLF,EXE
X09-70401,SW CD Visio Pro 2003 W32 Polish MLF,EXE
X09-70402,SW CD SharePoint Portal Svr 2003 Arabic MLF,EXE
X09-70403,SW CD SharePoint Portal Svr 2003 Czech MLF,EXE
X09-70404,SW CD SharePoint Portal Svr 2003 Greek MLF,EXE
X09-70405,SW CD SharePoint Portal Svr 2003 Hebrew MLF,EXE
X09-70406,SW CD SharePoint Portal Svr 2003 Hungarian MLF,EXE
X09-70407,SW CD SharePoint Portal Svr 2003 Polish MLF,EXE
X09-70408,SW CD SharePoint Portal Svr 2003 Portuguese MLF,EXE
